,realtime_start,realtime_end,date,value,delta column,,
353,1/11/22,1/11/22,6/1/11,2.085603,0.1049714,,
354,1/11/22,1/11/22,7/1/11,2.1514836,0.0658806,,
355,1/11/22,1/11/22,8/1/11,1.975738,0.1757456,,
356,1/11/22,1/11/22,9/1/11,1.854551,0.121187,,
357,1/11/22,1/11/22,10/1/11,1.8632583,0.0087073,,
358,1/11/22,1/11/22,11/1/11,1.8783636,0.0151053,,
359,1/11/22,1/11/22,12/1/11,1.8980159,0.0196523,,
360,1/11/22,1/11/22,1/1/12,1.8735486,0.0244673,,
361,1/11/22,1/11/22,2/1/12,1.8276097,0.0459389,,
362,1/11/22,1/11/22,3/1/12,1.8597176,0.0321079,,
363,1/11/22,1/11/22,4/1/12,1.9045645,0.0448469,,
364,1/11/22,1/11/22,5/1/12,1.830415,0.0741495,,
365,1/11/22,1/11/22,6/1/12,1.7463794,0.0840356,,
366,1/11/22,1/11/22,7/1/12,1.7851971,0.0388177,,
367,1/11/22,1/11/22,8/1/12,1.7774758,0.0077213,,
368,1/11/22,1/11/22,9/1/12,1.7970556,0.0195798,,
369,1/11/22,1/11/22,10/1/12,1.7874303,0.0096253,,
370,1/11/22,1/11/22,11/1/12,1.7972118,0.0097815,,
371,1/11/22,1/11/22,12/1/12,1.7889441,0.0082677,,
372,1/11/22,1/11/22,1/1/13,1.7863906,0.0025535,,
373,1/11/22,1/11/22,2/1/13,1.8233243,0.0369337,,
374,1/11/22,1/11/22,3/1/13,1.7342368,0.0890875,,
375,1/11/22,1/11/22,4/1/13,1.7588658,0.024629,,
376,1/11/22,1/11/22,5/1/13,1.7307505,0.0281153,,
377,1/11/22,1/11/22,6/1/13,1.8341875,0.103437,,
378,1/11/22,1/11/22,7/1/13,1.9146139,0.0804264,,
379,1/11/22,1/11/22,8/1/13,1.9869981,0.0723842,,
380,1/11/22,1/11/22,9/1/13,2.062418,0.0754199,,
381,1/11/22,1/11/22,10/1/13,1.9674699,0.0949481,,
382,1/11/22,1/11/22,11/1/13,1.9651446,0.0023253,,
383,1/11/22,1/11/22,12/1/13,2.004645,0.0395004,,
384,1/11/22,1/11/22,1/1/14,2.0664155,0.0617705,,
385,1/11/22,1/11/22,2/1/14,2.0040782,0.0623373,,
386,1/11/22,1/11/22,3/1/14,1.9976712,0.006407,,
387,1/11/22,1/11/22,4/1/14,2.0868093,0.0891381,,
388,1/11/22,1/11/22,5/1/14,2.0778391,0.0089702,,
389,1/11/22,1/11/22,6/1/14,2.0552061,0.022633,,
390,1/11/22,1/11/22,7/1/14,2.086036,0.0308299,,
391,1/11/22,1/11/22,8/1/14,2.0833849,0.0026511,,
392,1/11/22,1/11/22,9/1/14,2.1005658,0.0171809,,
393,1/11/22,1/11/22,10/1/14,2.0858257,0.0147401,,
394,1/11/22,1/11/22,11/1/14,2.0485849,0.0372408,,
395,1/11/22,1/11/22,12/1/14,2.0480101,0.0005748,,
396,1/11/22,1/11/22,1/1/15,1.9606272,0.0873829,,
397,1/11/22,1/11/22,2/1/15,1.8514186,0.1092086,,
398,1/11/22,1/11/22,3/1/15,1.9741407,0.1227221,,
399,1/11/22,1/11/22,4/1/15,1.9550009,0.0191398,,
400,1/11/22,1/11/22,5/1/15,2.017258,0.0622571,,
401,1/11/22,1/11/22,6/1/15,2.0396774,0.0224194,,
402,1/11/22,1/11/22,7/1/15,2.0867822,0.0471048,,
403,1/11/22,1/11/22,8/1/15,2.037016,0.0497662,,
404,1/11/22,1/11/22,9/1/15,2.04658894,0.00957294,,
405,1/11/22,1/11/22,10/1/15,1.9912227,0.05536624,,
406,1/11/22,1/11/22,11/1/15,2.0402582,0.0490355,,
407,1/11/22,1/11/22,12/1/15,2.04176419,0.00150599,,
408,1/11/22,1/11/22,1/1/16,2.07234625,0.03058206,,
409,1/11/22,1/11/22,2/1/16,1.9687422,0.10360405,,
