,realtime_start,realtime_end,date,value
348,2022-01-11,2022-01-11,2011-01-01,2.1547907
349,2022-01-11,2022-01-11,2011-02-01,2.1675117
350,2022-01-11,2022-01-11,2011-03-01,2.208956
351,2022-01-11,2022-01-11,2011-04-01,2.2515181
352,2022-01-11,2022-01-11,2011-05-01,2.1905744
353,2022-01-11,2022-01-11,2011-06-01,2.085603
354,2022-01-11,2022-01-11,2011-07-01,2.1514836
355,2022-01-11,2022-01-11,2011-08-01,1.975738
356,2022-01-11,2022-01-11,2011-09-01,1.854551
357,2022-01-11,2022-01-11,2011-10-01,1.8632583
358,2022-01-11,2022-01-11,2011-11-01,1.8783636
359,2022-01-11,2022-01-11,2011-12-01,1.8980159
360,2022-01-11,2022-01-11,2012-01-01,1.8735486
361,2022-01-11,2022-01-11,2012-02-01,1.8276097
362,2022-01-11,2022-01-11,2012-03-01,1.8597176
363,2022-01-11,2022-01-11,2012-04-01,1.9045645
364,2022-01-11,2022-01-11,2012-05-01,1.830415
365,2022-01-11,2022-01-11,2012-06-01,1.7463794
366,2022-01-11,2022-01-11,2012-07-01,1.7851971
367,2022-01-11,2022-01-11,2012-08-01,1.7774758
368,2022-01-11,2022-01-11,2012-09-01,1.7970556
369,2022-01-11,2022-01-11,2012-10-01,1.7874303
370,2022-01-11,2022-01-11,2012-11-01,1.7972118
371,2022-01-11,2022-01-11,2012-12-01,1.7889441
372,2022-01-11,2022-01-11,2013-01-01,1.7863906
373,2022-01-11,2022-01-11,2013-02-01,1.8233243
374,2022-01-11,2022-01-11,2013-03-01,1.7342368
375,2022-01-11,2022-01-11,2013-04-01,1.7588658
376,2022-01-11,2022-01-11,2013-05-01,1.7307505
377,2022-01-11,2022-01-11,2013-06-01,1.8341875
378,2022-01-11,2022-01-11,2013-07-01,1.9146139
379,2022-01-11,2022-01-11,2013-08-01,1.9869981
380,2022-01-11,2022-01-11,2013-09-01,2.062418
381,2022-01-11,2022-01-11,2013-10-01,1.9674699
382,2022-01-11,2022-01-11,2013-11-01,1.9651446
383,2022-01-11,2022-01-11,2013-12-01,2.004645
384,2022-01-11,2022-01-11,2014-01-01,2.0664155
385,2022-01-11,2022-01-11,2014-02-01,2.0040782
386,2022-01-11,2022-01-11,2014-03-01,1.9976712
387,2022-01-11,2022-01-11,2014-04-01,2.0868093
388,2022-01-11,2022-01-11,2014-05-01,2.0778391
389,2022-01-11,2022-01-11,2014-06-01,2.0552061
390,2022-01-11,2022-01-11,2014-07-01,2.086036
391,2022-01-11,2022-01-11,2014-08-01,2.0833849
392,2022-01-11,2022-01-11,2014-09-01,2.1005658
393,2022-01-11,2022-01-11,2014-10-01,2.0858257
394,2022-01-11,2022-01-11,2014-11-01,2.0485849
395,2022-01-11,2022-01-11,2014-12-01,2.0480101
396,2022-01-11,2022-01-11,2015-01-01,1.9606272
397,2022-01-11,2022-01-11,2015-02-01,1.8514186
398,2022-01-11,2022-01-11,2015-03-01,1.9741407
399,2022-01-11,2022-01-11,2015-04-01,1.9550009
400,2022-01-11,2022-01-11,2015-05-01,2.017258
401,2022-01-11,2022-01-11,2015-06-01,2.0396774
402,2022-01-11,2022-01-11,2015-07-01,2.0867822
403,2022-01-11,2022-01-11,2015-08-01,2.037016
404,2022-01-11,2022-01-11,2015-09-01,2.04658894
405,2022-01-11,2022-01-11,2015-10-01,1.9912227
406,2022-01-11,2022-01-11,2015-11-01,2.0402582
407,2022-01-11,2022-01-11,2015-12-01,2.04176419
408,2022-01-11,2022-01-11,2016-01-01,2.07234625
409,2022-01-11,2022-01-11,2016-02-01,1.9687422
410,2022-01-11,2022-01-11,2016-03-01,1.93326997
411,2022-01-11,2022-01-11,2016-04-01,1.95454307
412,2022-01-11,2022-01-11,2016-05-01,1.98313657
413,2022-01-11,2022-01-11,2016-06-01,1.97569584
414,2022-01-11,2022-01-11,2016-07-01,1.88834343
415,2022-01-11,2022-01-11,2016-08-01,1.90510452
416,2022-01-11,2022-01-11,2016-09-01,1.95307087
417,2022-01-11,2022-01-11,2016-10-01,1.94568148
418,2022-01-11,2022-01-11,2016-11-01,1.98369326
419,2022-01-11,2022-01-11,2016-12-01,2.12707441
420,2022-01-11,2022-01-11,2017-01-01,2.10618941
421,2022-01-11,2022-01-11,2017-02-01,2.11198232
422,2022-01-11,2022-01-11,2017-03-01,2.09636583
423,2022-01-11,2022-01-11,2017-04-01,2.06511902
424,2022-01-11,2022-01-11,2017-05-01,2.0572041
425,2022-01-11,2022-01-11,2017-06-01,1.98910363
426,2022-01-11,2022-01-11,2017-07-01,2.05879566
427,2022-01-11,2022-01-11,2017-08-01,2.03309325
428,2022-01-11,2022-01-11,2017-09-01,2.04143832
429,2022-01-11,2022-01-11,2017-10-01,2.08505413
430,2022-01-11,2022-01-11,2017-11-01,2.10651415
431,2022-01-11,2022-01-11,2017-12-01,2.14986348
432,2022-01-11,2022-01-11,2018-01-01,2.13696602
433,2022-01-11,2022-01-11,2018-02-01,2.22261362
434,2022-01-11,2022-01-11,2018-03-01,2.15385262
435,2022-01-11,2022-01-11,2018-04-01,2.15923458
436,2022-01-11,2022-01-11,2018-05-01,2.24159533
437,2022-01-11,2022-01-11,2018-06-01,2.21779981
438,2022-01-11,2022-01-11,2018-07-01,2.23885732
439,2022-01-11,2022-01-11,2018-08-01,2.27462408
440,2022-01-11,2022-01-11,2018-09-01,2.26098747
441,2022-01-11,2022-01-11,2018-10-01,2.29193883
442,2022-01-11,2022-01-11,2018-11-01,2.2823972
443,2022-01-11,2022-01-11,2018-12-01,2.23748419
444,2022-01-11,2022-01-11,2019-01-01,2.13628434
445,2022-01-11,2022-01-11,2019-02-01,2.1470192
446,2022-01-11,2022-01-11,2019-03-01,1.93654601
447,2022-01-11,2022-01-11,2019-04-01,1.95821493
448,2022-01-11,2022-01-11,2019-05-01,1.99518797
449,2022-01-11,2022-01-11,2019-06-01,1.88487781
450,2022-01-11,2022-01-11,2019-07-01,1.9124692
451,2022-01-11,2022-01-11,2019-08-01,1.90051606
452,2022-01-11,2022-01-11,2019-09-01,1.82400948
453,2022-01-11,2022-01-11,2019-10-01,1.88800985
454,2022-01-11,2022-01-11,2019-11-01,1.92026832
455,2022-01-11,2022-01-11,2019-12-01,1.94845226
456,2022-01-11,2022-01-11,2020-01-01,1.96201477
457,2022-01-11,2022-01-11,2020-02-01,1.87410465
458,2022-01-11,2022-01-11,2020-03-01,1.60983086
459,2022-01-11,2022-01-11,2020-04-01,1.56281905
460,2022-01-11,2022-01-11,2020-05-01,1.57294173
461,2022-01-11,2022-01-11,2020-06-01,1.6030699
462,2022-01-11,2022-01-11,2020-07-01,1.65944459
463,2022-01-11,2022-01-11,2020-08-01,1.65243667
464,2022-01-11,2022-01-11,2020-09-01,1.66477436
465,2022-01-11,2022-01-11,2020-10-01,1.66106305
466,2022-01-11,2022-01-11,2020-11-01,1.69239107
467,2022-01-11,2022-01-11,2020-12-01,1.71752841
468,2022-01-11,2022-01-11,2021-01-01,1.6945733
469,2022-01-11,2022-01-11,2021-02-01,1.72568905
470,2022-01-11,2022-01-11,2021-03-01,1.78653183
471,2022-01-11,2022-01-11,2021-04-01,1.84568654
472,2022-01-11,2022-01-11,2021-05-01,1.83813447
473,2022-01-11,2022-01-11,2021-06-01,1.84534109
474,2022-01-11,2022-01-11,2021-07-01,1.86833355
475,2022-01-11,2022-01-11,2021-08-01,1.81989461
476,2022-01-11,2022-01-11,2021-09-01,1.86329522
477,2022-01-11,2022-01-11,2021-10-01,1.86663769
478,2022-01-11,2022-01-11,2021-11-01,1.96175436
479,2022-01-11,2022-01-11,2021-12-01,1.95086511
